id,sourceSheet,system,type,materialA,materialB,facet,supercell,strain,adsorbate,site,method,finalEnergy,finalEnergyValue,energyType,calculatedEnergy,relativeEnergy,formula,trend,conclusion,reference,notes,poscarFile
"Co on pt111-12","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-816.735874 eV",-816.73587435,"Formation / interface energy TBD","","14.755010 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 12; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/H2O_ad/Co0/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-13","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-816.597592 eV",-816.59759232,"Formation / interface energy TBD","","14.893292 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 13; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/H2O_ad/Co14/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-14","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-816.579369 eV",-816.5793694,"Formation / interface energy TBD","","14.911515 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 14; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/H2O_ad/Co1/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-15","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-816.570158 eV",-816.57015793,"Formation / interface energy TBD","","14.920726 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 15; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/H2O_ad/Co15/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-16","Co on pt111","CoOOH_root25_on_Pt111_root28","Metal/oxide/hydroxide interface","CoOOH","Pt","Pt(111)","CoOOH_root25_on_Pt111_root28","TBD","CoOOH on Pt","Interface / registry TBD","vdW-DF, AFM, U=3","-816.083116 eV",-816.08311574,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 16; original path: Co_on_Pt111/CoOOH_root25_on_Pt111_root28/vdW-DF/AFM/U3.0","poscars/CoOOH_root25_on_Pt111_root28.POSCAR"
"Co on pt111-17","Co on pt111","CoOOH_root25_on_Pt111_root28","Metal/oxide/hydroxide interface","CoOOH","Pt","Pt(111)","CoOOH_root25_on_Pt111_root28","TBD","CoOOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-815.542131 eV",-815.54213114,"Formation / interface energy TBD","","0.540985 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 17; original path: Co_on_Pt111/CoOOH_root25_on_Pt111_root28/vdW-DF/FM/U3.0","poscars/CoOOH_root25_on_Pt111_root28.POSCAR"
"Co on pt111-18","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-812.549178 eV",-812.54917818,"Formation / interface energy TBD","","18.941706 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 18; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/OH_ad/Co0/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-19","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-812.452852 eV",-812.45285221,"Formation / interface energy TBD","","19.038032 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 19; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB10/OH_ad/Co7/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-20","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-812.446843 eV",-812.44684304,"Formation / interface energy TBD","","19.044041 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 20; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/OH_ad/Co14/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-21","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-812.374968 eV",-812.37496846,"Formation / interface energy TBD","","19.115916 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 21; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/OH_ad/Co1/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-22","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-812.211539 eV",-812.21153892,"Formation / interface energy TBD","","19.279345 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 22; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB10/OH_ad/Co10/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-23","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-812.058451 eV",-812.05845114,"Formation / interface energy TBD","","19.432433 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 23; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/OH_ad/Co15/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-24","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-811.988461 eV",-811.98846134,"Formation / interface energy TBD","","19.502423 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 24; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB10/OH_ad/Co9/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-25","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-811.942650 eV",-811.94264972,"Formation / interface energy TBD","","19.548234 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 25; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB10/OH_ad/Co8/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-26","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-802.279579 eV",-802.27957877,"Formation / interface energy TBD","","29.211305 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 26; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB5/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-27","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-801.748231 eV",-801.74823136,"Formation / interface energy TBD","","29.742653 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 27; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-28","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-801.554611 eV",-801.55461144,"Formation / interface energy TBD","","29.936273 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 28; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB10/PBE","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-29","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-735.140018 eV",-735.14001796,"Formation / interface energy TBD","","96.350866 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 29; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-30","Co on pt111","CoOH_root27_on_Pt111_root31","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root27_on_Pt111_root31","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-734.138238 eV",-734.13823752,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 30; original path: Co_on_Pt111/CoOH_root27_on_Pt111_root31/vdW-DF/FM/U3.0","poscars/CoOH_root27_on_Pt111_root31.POSCAR"
"Co on pt111-31","Co on pt111","CoO2_root27_on_Pt111_root28","Metal/oxide/hydroxide interface","CoO2","Pt","Pt(111)","CoO2_root27_on_Pt111_root28","TBD","CoO2 on Pt","Interface / registry TBD","vdW-DF, PM, U=3","-731.735804 eV",-731.73580376,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 31; original path: Co_on_Pt111/CoO2_root27_on_Pt111_root28/vdW-DF/PM/U3.0","poscars/CoO2_root27_on_Pt111_root28.POSCAR"
"Co on pt111-32","Co on pt111","CoO2_root28_on_Pt111_root27","Metal/oxide/hydroxide interface","CoO2","Pt","Pt(111)","CoO2_root28_on_Pt111_root27","TBD","CoO2 on Pt","Interface / registry TBD","vdW-DF, PM, U=3","-728.370593 eV",-728.37059319,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 32; original path: Co_on_Pt111/CoO2_root28_on_Pt111_root27/vdW-DF/PM/U3.0","poscars/CoO2_root28_on_Pt111_root27.POSCAR"
"Co on pt111-33","Co on pt111","CoO2_root25_on_Pt111_root28","Metal/oxide/hydroxide interface","CoO2","Pt","Pt(111)","CoO2_root25_on_Pt111_root28","TBD","CoO2 on Pt","Interface / registry TBD","vdW-DF, PM, U=3","-695.267613 eV",-695.26761292,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 33; original path: Co_on_Pt111/CoO2_root25_on_Pt111_root28/vdW-DF/PM/U3.0","poscars/CoO2_root25_on_Pt111_root28.POSCAR"
"Co on pt111-34","Co on pt111","CoO2_root25_on_Pt111_root28","Metal/oxide/hydroxide interface","CoO2","Pt","Pt(111)","CoO2_root25_on_Pt111_root28","TBD","CoO2 on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-692.592393 eV",-692.59239278,"Formation / interface energy TBD","","2.675220 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 34; original path: Co_on_Pt111/CoO2_root25_on_Pt111_root28/vdW-DF/FM/U3.0","poscars/CoO2_root25_on_Pt111_root28.POSCAR"
"Co on pt111-35","Co on pt111","CoOH_5x5_on_Pt111_root28","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_5x5_on_Pt111_root28","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-671.218913 eV",-671.21891271,"Formation / interface energy TBD","","0.000000 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 35; original path: Co_on_Pt111/CoOH_5x5_on_Pt111_root28/vdW-DF/FM/U3.0","poscars/CoOH_5x5_on_Pt111_root28.POSCAR"
"Co on pt111-36","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-624.567943 eV",-624.56794338,"Formation / interface energy TBD","","206.922941 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 36; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/2H2O_ad/Co0_15/NEB/01","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-37","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-624.413855 eV",-624.41385509,"Formation / interface energy TBD","","207.077029 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 37; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/2H2O_ad/Co0_15/NEB/08","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-38","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-624.352154 eV",-624.35215448,"Formation / interface energy TBD","","207.138729 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 38; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/2H2O_ad/Co0_15/NEB/03","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-39","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-624.348487 eV",-624.34848662,"Formation / interface energy TBD","","207.142397 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 39; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/2H2O_ad/Co0_15/NEB/06","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-40","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-624.335056 eV",-624.33505557,"Formation / interface energy TBD","","207.155828 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 40; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/2H2O_ad/Co0_15/NEB/04","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
"Co on pt111-41","Co on pt111","CoOH_root13_on_Pt111_4x4","Metal/oxide/hydroxide interface","CoOH","Pt","Pt(111)","CoOH_root13_on_Pt111_4x4","TBD","CoOH on Pt","Interface / registry TBD","vdW-DF, FM, U=3","-624.301572 eV",-624.30157165,"Formation / interface energy TBD","","207.189312 eV","Use Formation Calculator tab with selected row and reference energies.","Compare structures, U values, and FM/AFM states.","TBD after comparing final, relative, and formation energies.","Co on pt111","Imported from Excel row 41; original path: Co_on_Pt111/CoOH_root13_on_Pt111_4x4/vdW-DF/FM/U3.0/PREC_Accurate/p8x4/TPB1/2H2O_ad/Co0_15/NEB/07","poscars/CoOH_root13_on_Pt111_4x4.POSCAR"
